No,カテゴリ,質問項目,プロンプト,救急受診ガイドの判定
12,息が苦しい（成人）,横になると息苦しいですか？〔または〕（苦しくて）座らないと息ができませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。息が苦しい（成人）。横になると息苦しいですか？または（苦しくて）座らないと息ができませんか？はい。,赤
13,息が苦しい（成人）,何か変なものを吸い込みましたか？〔または〕息が苦しくなったのさは吐いた後からですか？〔または〕むせた後からですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。息が苦しい（成人）。何か変なものを吸い込みましたか？または息が苦しくなったのさは吐いた後からですか？またはむせた後からですか？はい。,赤
14,息が苦しい（成人）,顔がむくんだり、赤くなったり、じんましんがでていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。息が苦しい（成人）。顔がむくんだり、赤くなったり、じんましんがでていますか？はい。,赤
15,呼吸がゼーゼーする（成人）,横になると息苦しいですか？〔または〕（苦しくて）座らないと息ができませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。呼吸がゼーゼーする（成人）。横になると息苦しいですか？または（苦しくて）座らないと息ができませんか？はい。,赤
16,呼吸がゼーゼーする（成人）,突然（2 時間以内が目安）始まりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。呼吸がゼーゼーする（成人）。突然（2時間以内が目安）始まりましたか？はい。,赤
17,呼吸がゼーゼーする（成人）,何か変なものを吸い込みましたか？　〔または〕その可能性がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。呼吸がゼーゼーする（成人）。何か変なものを吸い込みましたか？またはその可能性がありますか？はい。,赤
18,呼吸がゼーゼーする（成人）,泡（あわ）状のピンク色〔または〕白い痰（たん）がたくさん出ますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。呼吸がゼーゼーする（成人）。泡（あわ）状のピンク色または白い痰（たん）がたくさん出ますか？はい。,赤
19,ぜんそく発作（成人）,横になると息苦しいですか？〔または〕（苦しくて）座らないと息ができませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。ぜんそく発作（成人）。横になると息苦しいですか？または（苦しくて）座らないと息ができませんか？はい。,赤
20,ぜんそく発作（成人）,（手持ちの）薬を使ってもまだ苦しいですか〔または〕苦しさがとれないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。ぜんそく発作（成人）。（手持ちの）薬を使ってもまだ苦しいですかまたは苦しさがとれないですか？はい。,赤
21,動悸（成人・小児）,動悸（胸のドキドキ）は30 分以上続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。動悸（胸のドキドキ）は30分以上続いていますか？はい。,赤
22,動悸（成人・小児）,息苦しいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。息苦しいですか？はい。,赤
23,動悸（成人・小児）,胸の圧迫感（押される感じ）はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。胸の圧迫感（押される感じ）はありますか？はい。,赤
24,動悸（成人・小児）,胸がもやもやする感じはありますか？〔または〕胸が苦しいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。胸がもやもやする感じはありますか？または胸が苦しいですか？はい。,赤
25,動悸（成人・小児）,胸の痛みが30 分以上続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。胸の痛みが30分以上続いていますか？はい。,赤
26,動悸（成人・小児）,冷や汗をかいていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。冷や汗をかいていますか？はい。,赤
27,動悸（成人・小児）,痛みが周りに広がる感じはありますか？〔または〕胸、首、あご、腕のいずれかの痛みがありますか？〔または〕変な感じがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。痛みが周りに広がる感じはありますか？または胸、首、あご、腕のいずれかの痛みがありますか？または変な感じがありますか？はい。,赤
28,動悸（成人・小児）,「胸やけ」がしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。「胸やけ」がしますか？はい。,赤
29,動悸（成人・小児）,脈が極端に速いですか？〔または〕遅いですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。脈が極端に速いですか？または遅いですか？はい。,赤
30,動悸（成人・小児）,立ちくらみが起きましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。立ちくらみが起きましたか？はい。,赤
31,意識がおかしい（成人）,突然おかしくなりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。突然おかしくなりましたか？はい。,赤
32,意識がおかしい（成人）,話し方がおかしいですか？　ろれつが回りませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。話し方がおかしいですか？ろれつが回りませんか？はい。,赤
33,意識がおかしい（成人）,こちらの言うことを聞かないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。こちらの言うことを聞かないですか？はい。,赤
34,意識がおかしい（成人）,あばれたり、いつもと違う行動をしたりしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。あばれたり、いつもと違う行動をしたりしていますか？はい。,赤
35,意識がおかしい（成人）,手足の動きが悪いですか？〔または〕どちらかの手足が動きませんか？　〔または〕　手足に力が入りませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。手足の動きが悪いですか？またはどちらかの手足が動きませんか？または手足に力が入りませんか？はい。,赤
36,意識がおかしい（成人）,頭を打った後ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。頭を打った後ですか？はい。,赤
37,意識がおかしい（成人）,頭をひどく痛がっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。頭をひどく痛がっていますか？はい。,赤
38,意識がおかしい（成人）,吐きましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。吐きましたか？はい。,赤
39,意識がおかしい（成人）,けいれん（ひきつけ）をおこしましたか？〔または〕けいれんしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。けいれん（ひきつけ）をおこしましたか？またはけいれんしていますか？はい。,赤
40,意識がおかしい（成人）,何か薬を飲みましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。何か薬を飲みましたか？はい。,赤
41,意識がおかしい（成人）,大量に酒を飲んだばかりですか？〔または〕その可能性がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。大量に酒を飲んだばかりですか？またはその可能性がありますか？はい。,赤
42,意識がおかしい（成人）,糖尿病がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。糖尿病がありますか？はい。,赤
43,意識がおかしい（成人）,肝臓が悪いと言われていますか？〔または〕黄疸（皮膚や目の白い部分が黄色っぽくなること）が出ていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。肝臓が悪いと言われていますか？または黄疸（皮膚や目の白い部分が黄色っぽくなること）が出ていますか？はい。,赤
44,意識がおかしい（成人）,不整脈（脈がとぶ、脈のリズムが乱れるなど）がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。不整脈（脈がとぶ、脈のリズムが乱れるなど）がありますか？はい。,赤
45,意識がおかしい（成人）,発熱（38℃以上）はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。意識がおかしい（成人）。発熱（38℃以上）はありますか？はい。,赤
46,けいれん（成人）,けいれん（ひきつけ）が今も続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。けいれん（成人）。けいれん（ひきつけ）が今も続いていますか？はい。,赤
47,けいれん（成人）,返事ができませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。けいれん（成人）。返事ができませんか？はい。,赤
48,けいれん（成人）,けいれん（ひきつけ）を起こす前に頭や顔にけがをしましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。けいれん（成人）。けいれん（ひきつけ）を起こす前に頭や顔にけがをしましたか？はい。,赤
49,けいれん（成人）,倒れたとき、頭を打ちましたか？〔または〕頭から出血していますか？〔または〕舌をかみましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。けいれん（成人）。倒れたとき、頭を打ちましたか？または頭から出血していますか？または舌をかみましたか？はい。,赤
50,けいれん（成人）,会話ができませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。けいれん（成人）。会話ができませんか？はい。,赤
51,けいれん（成人）,またけいれん（ひきつけ）を起こしそうですか？〔または〕何かおかしいですか？〔または〕落ち着きませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。けいれん（成人）。またけいれん（ひきつけ）を起こしそうですか？または何かおかしいですか？または落ち着きませんか？はい。,赤
52,けいれん（成人）,発熱（38℃以上）はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。けいれん（成人）。発熱（38℃以上）はありますか？はい。,赤
53,けいれん（成人）,手足を動かせませんか？いずれかの手足が動きにくいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。けいれん（成人）。手足を動かせませんか？いずれかの手足が動きにくいですか？はい。,赤
54,けいれん（成人）,頭痛がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。けいれん（成人）。頭痛がありますか？はい。,赤
55,けいれん（成人）,初めてのけいれん（ひきつけ）ですか？〔または〕こういうことは初めてですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。けいれん（成人）。初めてのけいれん（ひきつけ）ですか？またはこういうことは初めてですか？はい。,赤
56,頭痛（成人）,強い吐き気はありますか？〔または〕吐きましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。強い吐き気はありますか？または吐きましたか？はい。,
57,頭痛（成人）,いつもの頭痛と違ってひどいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。いつもの頭痛と違ってひどいですか？はい。,
58,頭痛（成人）,突然ガーンと頭を殴られたようなひどい痛みですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。突然ガーンと頭を殴られたようなひどい痛みですか？はい。,
59,頭痛（成人）,今まで経験したことのないようなひどい痛みですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。今まで経験したことのないようなひどい痛みですか？はい。,
60,頭痛（成人）,痛みがだんだん強くなっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。痛みがだんだん強くなっていますか？はい。,
61,頭痛（成人）,手足がしびれたり、力が入らなかったりしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。手足がしびれたり、力が入らなかったりしますか？はい。,
62,頭痛（成人）,体がフワフワしていますか？〔または〕めまいがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。体がフワフワしていますか？またはめまいがありますか？はい。,
63,頭痛（成人）,動けませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。動けませんか？はい。,
64,頭痛（成人）,変なことを言っていますか？〔または〕目の焦点が合っていませんか？〔または〕もうろうとしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。変なことを言っていますか？または目の焦点が合っていませんか？またはもうろうとしていますか？はい。,
65,頭痛（成人）,けいれん（ひきつけ）をおこしていますか？〔または〕けいれんしていましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。けいれん（ひきつけ）をおこしていますか？またはけいれんしていましたか？はい。,
66,頭痛（成人）,呼びかけても返事をしませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。呼びかけても返事をしませんか？はい。,
67,胸が痛い（成人・小児）,痛みは突然ですか？痛みの程度は変わりませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。痛みは突然ですか？痛みの程度は変わりませんか？はい。,赤
68,胸が痛い（成人・小児）,頸部又は顎、肩甲骨、背中、上腕に痛みは広がっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。頸部又は顎、肩甲骨、背中、上腕に痛みは広がっていますか？はい。,赤
69,胸が痛い（成人・小児）,息切れ、めまい、脱力感はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。息切れ、めまい、脱力感はありますか？はい。,赤
70,胸が痛い（成人・小児）,手足が冷たいまたは湿っている(じっとりとしている)？,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。手足が冷たいまたは湿っている(じっとりとしている)？はい。,赤
71,胸が痛い（成人・小児）,嘔吐はありましたか？吐きましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。嘔吐はありましたか？吐きましたか？はい。,赤
72,胸が痛い（成人・小児）,安静にしても胸が痛いですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。安静にしても胸が痛いですか？はい。,赤
73,胸が痛い（成人・小児）,動悸(ドキドキする感じ)、脈が飛ぶ感じはありますか?,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。動悸(ドキドキする感じ)、脈が飛ぶ感じはありますか?はい。,赤
74,胸が痛い（成人・小児）,処方されている薬（ニトログリセリン、フランドルテーブなど）を使っても胸痛はおさまらないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。処方されている薬（ニトログリセリン、フランドルテーブなど）を使っても胸痛はおさまらないですか？はい。,赤
75,胸が痛い（成人・小児）,長く座りっぱなしまたは長時間同じ姿勢でしたか？または旅行などの後ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。長く座りっぱなしまたは長時間同じ姿勢でしたか？または旅行などの後ですか？はい。,赤
76,胸が痛い（成人・小児）,心臓の病気にかかったことがありますか？またはいつもの発作と違いますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。心臓の病気にかかったことがありますか？またはいつもの発作と違いますか？はい。,赤
77,胸が痛い（成人・小児）,急に足首が腫れてきましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。急に足首が腫れてきましたか？はい。,赤
78,胸が痛い（成人・小児）,血の混じった痰が出てきましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。血の混じった痰が出てきましたか？はい。,赤
79,背中が痛い（成人）,突然の痛みで痛みが強くなっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。背中が痛い（成人）。突然の痛みで痛みが強くなっていますか？はい。,赤
80,背中が痛い（成人）,胸の痛みはありますか？,ろれつ,赤
81,背中が痛い（成人）,急に足が痺れましたか？足のだるさが強くなっていますか？足を動かせませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。背中が痛い（成人）。急に足が痺れましたか？足のだるさが強くなっていますか？足を動かせませんか？はい。,赤
82,背中が痛い（成人）,強く痛む場所が移動しますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。背中が痛い（成人）。強く痛む場所が移動しますか？はい。,赤
83,背中が痛い（成人）,裂けるような痛みはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。背中が痛い（成人）。裂けるような痛みはありますか？はい。,赤
84,背中が痛い（成人）,便や尿が漏れるようなことはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。背中が痛い（成人）。便や尿が漏れるようなことはありますか？はい。,赤
85,ろれつが回らない（成人）,突然始まりましたか?,あなたは救急医です。救急受診が必要かどうかを判断してください。ろれつが回らない。突然始まりましたか?はい。,赤
86,ろれつが回らない（成人）,手足に力が入りませんか？手足が動きませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。ろれつが回らない。手足に力が入りませんか？手足が動きませんか？はい。,赤
87,ろれつが回らない（成人）,顔の表情に左右差がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。ろれつが回らない。顔の表情に左右差がありますか？はい。,赤
88,ろれつが回らない（成人）,息が詰まりそうですか？呼吸が苦しそうですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。ろれつが回らない。息が詰まりそうですか？呼吸が苦しそうですか？はい。,赤
89,ろれつが回らない（成人）,言っている内容が理解できませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。ろれつが回らない。言っている内容が理解できませんか？はい。,赤
90,ろれつが回らない（成人）,痙攣をおこしましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。ろれつが回らない。痙攣をおこしましたか？はい。,赤
91,ろれつが回らない（成人）,症状がだんだんとつよくなりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。ろれつが回らない。症状がだんだんとつよくなりましたか？はい。,赤
92,ろれつが回らない（成人）,熱い空気や煙、ガスを吸いましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。ろれつが回らない。熱い空気や煙、ガスを吸いましたか？はい。,赤
93,腰痛（成人）,突然の痛みで強くなっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。腰痛（成人）。突然の痛みで強くなっていますか？はい。,赤
94,腰痛（成人）,強く痛む部位が移動しますか?,あなたは救急医です。救急受診が必要かどうかを判断してください。腰痛（成人）。強く痛む部位が移動しますか?はい。,赤
95,腰痛（成人）,急に足が痺れましたか？足のだるさが強くなっていますか？足を動かせませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。腰痛（成人）。急に足が痺れましたか？足のだるさが強くなっていますか？足を動かせませんか？はい。,赤
96,腰痛（成人）,便や尿はもれますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。腰痛（成人）。便や尿はもれますか？はい。,赤
97,発熱（成人）,起き上がることができないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発熱（成人）。起き上がることができないですか？はい。,赤
98,発熱（成人）,強い頭痛があって、はいていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発熱（成人）。強い頭痛があって、はいていますか？はい。,赤
99,発熱（成人）,頭痛があって意識朦朧としていますか？意識状態が悪いですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発熱（成人）。頭痛があって意識朦朧としていますか？意識状態が悪いですか？はい。,赤
100,発疹（成人）,顔、眼の周り、舌、喉のいずれかがひどく晴れていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発疹（成人）。顔、眼の周り、舌、喉のいずれかがひどく晴れていますか？はい。,赤
101,発疹（成人）,唾液が飲み込みにくいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発疹（成人）。唾液が飲み込みにくいですか？はい。,赤
102,発疹（成人）,腫れと痛みはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発疹（成人）。腫れと痛みはありますか？はい。,赤
103,のどが痛い（成人）,唾液が飲み込めないほどですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。のどが痛い（成人）。唾液が飲み込めないほどですか？はい。,赤
104,のどが痛い（成人）,息が苦しいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。のどが痛い（成人）。息が苦しいですか？はい。,赤
105,腹痛（成人）,痛みは突然起こりましたか？強い痛みがずっと続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。腹痛（成人）。痛みは突然起こりましたか？強い痛みがずっと続いていますか？はい。,赤
106,腹痛（成人）,胸や背なかにも痛みがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。腹痛（成人）。胸や背なかにも痛みがありますか？はい。,赤
107,腹痛（成人）,吐いたものに血が混じっていましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。腹痛（成人）。吐いたものに血が混じっていましたか？はい。,赤
108,腹痛（成人）,便に血が混じっていましたか？又は便の周りに血がついていましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。腹痛（成人）。便に血が混じっていましたか？又は便の周りに血がついていましたか？はい。,赤
109,腹痛（成人）,男性のみ陰嚢は腫れていますか？10〜20歳代男性では陰嚢も痛いですか？高齢者なら大腿も痛いですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。腹痛（成人）。男性のみ陰嚢は腫れていますか？10〜20歳代男性では陰嚢も痛いですか？高齢者なら大腿も痛いですか？はい。,赤
110,便秘（成人）,吐いて、発熱(38℃以上)の発熱がありましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。便秘（成人）。吐いて、発熱(38℃以上)の発熱がありましたか？はい。,赤
111,下痢（成人）,ひどい脱力感があり、動けないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。下痢（成人）。ひどい脱力感があり、動けないですか？はい。,赤
112,下痢（成人）,便と一緒にたくさんの血が出ていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。下痢（成人）。便と一緒にたくさんの血が出ていますか？はい。,赤
113,吐き気・吐いた（成人）,吐いたものに血が混じっていましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐き気・吐いた（成人）。吐いたものに血が混じっていましたか？はい。,赤
114,吐き気・吐いた（成人）,強い吐き気ですか？吐くのが2日以上続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐き気・吐いた（成人）。強い吐き気ですか？吐くのが2日以上続いていますか？はい。,赤
115,吐き気・吐いた（成人）,強いお腹の痛みがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐き気・吐いた（成人）。強いお腹の痛みがありますか？はい。,赤
116,吐き気・吐いた（成人）,強い頭痛を伴っていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐き気・吐いた（成人）。強い頭痛を伴っていますか？はい。,赤
117,吐血・下血・血便（成人・小児）,めまいやふらつきがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐血・下血・血便（成人・小児）。めまいやふらつきがありますか？はい。,赤
118,吐血・下血・血便（成人・小児）,おなかが強く痛みますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐血・下血・血便（成人・小児）。おなかが強く痛みますか？はい。,赤
119,吐血・下血・血便（成人・小児）,意識を失いましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐血・下血・血便（成人・小児）。意識を失いましたか？はい。,赤
120,吐血・下血・血便（成人・小児）,（今までに覚えがないくらい）大量に下血をしましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐血・下血・血便（成人・小児）。（今までに覚えがないくらい）大量に下血をしましたか？はい。,赤
121,吐血・下血・血便（成人・小児）,はいたものに血が混じりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐血・下血・血便（成人・小児）。はいたものに血が混じりましたか？はい。,赤
122,膣からの出血・液体流出（成人・小児）,性器からの出血や液体の流出が止まりませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。膣からの出血・液体流出（成人・小児）。性器からの出血や液体の流出が止まりませんか？はい。,赤
123,膣からの出血・液体流出（成人・小児）,何か事故や事件に関わることですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。膣からの出血・液体流出（成人・小児）。何か事故や事件に関わることですか？はい。,赤
124,膣からの出血・液体流出（成人・小児）,下腹部の痛みがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。膣からの出血・液体流出（成人・小児）。下腹部の痛みがありますか？はい。,赤
125,膣からの出血・液体流出（成人・小児）,妊娠 12 週以上ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。膣からの出血・液体流出（成人・小児）。妊娠12週以上ですか？はい。,赤
126,めまい・ふらつき（成人・小児）,動けませんか？　〔または〕　歩行や移動ができませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。めまい・ふらつき（成人・小児）。動けませんか？または歩行や移動ができませんか？はい。,赤
127,めまい・ふらつき（成人・小児）,急に手足の力が抜けた感じ〔または〕手足の動きにくさがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。めまい・ふらつき（成人・小児）。急に手足の力が抜けた感じまたは手足の動きにくさがありますか？はい。,赤
128,めまい・ふらつき（成人・小児）,しゃべりにくいですか？〔または〕しゃべりにくそうですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。めまい・ふらつき（成人・小児）。しゃべりにくいですか？またはしゃべりにくそうですか？はい。,赤
129,めまい・ふらつき（成人・小児）,目が見えにくいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。めまい・ふらつき（成人・小児）。目が見えにくいですか？はい。,赤
130,めまい・ふらつき（成人・小児）,脈が極端に速かったり遅かったり、乱れたりしますか？〔または〕ドキドキしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。めまい・ふらつき（成人・小児）。脈が極端に速かったり遅かったり、乱れたりしますか？またはドキドキしますか？はい。,赤
131,めまい・ふらつき（成人・小児）,胸の痛みがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。めまい・ふらつき（成人・小児）。胸の痛みがありますか？はい。,赤
132,めまい・ふらつき（成人・小児）,めまいやふらつきが起こったのは突然ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。めまい・ふらつき（成人・小児）。めまいやふらつきが起こったのは突然ですか？はい。,赤
133,めまい・ふらつき（成人・小児）,頭痛がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。めまい・ふらつき（成人・小児）。頭痛がありますか？はい。,赤
134,しびれ（大人）（成人）,足（下肢）を上げることができませんか？〔または〕足の動きが悪くなりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。足（下肢）を上げることができませんか？または足の動きが悪くなりましたか？はい。,赤
135,しびれ（大人）（成人）,手を上げることができませんか？〔または〕手の動きが悪くなりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。手を上げることができませんか？または手の動きが悪くなりましたか？はい。,赤
